Peak_ID,a2,b2,c2,d2,e2,f2,g2,h2,i24,j24,k24,l24,m24,n24,o24,p24,q48,r48,s48,t48,u48,v48,w48,x48
Peak_169,0,16799309,0,15692879,18320016,15238863,19175848,17730012,0,6471046,0,1727916,7348785,5850521,5429278,5416963,0,0,0,7792009,13273743,0,7658011,0
Peak_170,0,8421103,0,9335505,9188040,9251584,9767413,10042493,0,23717728,0,7715685,32600137,23966549,21750308,23014958,0,27620421,0,47603052,58569480,73015177,56126235,24620265
Peak_171,0,0,0,0,7009707,7432208,6996357,9159453,0,14473521,0,4725155,17756729,15099341,12956795,13726990,0,0,0,16969841,0,0,0,0
Peak_172,0,22718034,0,21290716,22952115,24683344,27094468,28535519,0,14000079,0,4576352,18610386,15624630,14329930,14268746,0,0,0,0,14146276,0,0,0
Peak_173,2061382,12673762,0,11284512,11192283,12879047,12843421,13146833,0,26588103,0,8536430,34478548,27809208,26934962,26822314,0,0,0,6581331,0,0,0,0
Peak_174,0,9741628,0,9663525,10038784,10472524,11840575,11227127,4276636,24746483,0,7805038,27549210,24575934,22203671,22838844,0,0,0,0,14491398,0,0,0
Peak_175,185944957,14232223,0,6671523,7142442,7289871,6691317,8537839,0,3766659,0,0,4051538,3612959,2820892,0,0,0,0,0,3904250,0,0,0
Peak_176,0,12085322,0,10741386,11174523,12190887,13963259,14767963,0,5087183,0,1476830,6388181,4903381,4829957,4770167,68668066,28472878,1484779,39963667,33592033,38829770,35160090,18772734
Peak_177,5237330,7072291,0,5766409,6105820,6798573,6941727,7434151,0,17348951,0,5972340,23103588,17340964,16224704,17248756,0,0,0,0,5585924,0,6154794,0
Peak_178,3660559,5820285,0,5330156,4950482,4975157,5146579,5330309,0,18658363,0,5866016,22993453,20178049,15735117,18052662,6486384,8507256,0,19308571,19513451,19400840,17804044,8402240
Peak_179,0,9513672,0,8154537,9128392,9458041,9573355,10434010,121639639,59490623,9294917,12873474,32480746,39437659,44751346,41626651,0,5219313,0,10982832,10828484,12520932,11435234,5250899
Peak_180,0,16746666,0,15091248,16285338,18206848,18976704,19925472,0,19507418,0,5369793,20870729,17288192,17018517,16939756,0,1197217,0,4162112,4982191,5336438,5560316,1889353
Peak_181,0,3230414,0,2359686,2672978,3180043,2950960,3125831,0,4757690,0,0,3756466,4245974,4092046,4147276,0,3421932,0,6217527,6520262,6599236,6018233,3558070
Peak_182,0,5938749,0,4767318,5696298,6149384,6581435,6687551,3334520,12882312,0,2925107,12952733,12472202,10944360,11605393,0,7912750,0,8910180,8766321,9578402,8861334,7020837
