Peak_ID,Library\ID,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_099,"3,4-Dihydroxyphenylglycol, 4TMS derivative",158890,112636,4402,58553,40546,18309,23841,31960,17949,59847,47410,33096,21079,30361,16302,52516,25980,18328,42554,30226,47731,34950,18150,27344,36940,34235,15769,36331,29280,18308
peak_100,"Benzaldehyde, 3-hydroxy-",2871,1184,101,107828,117723,130263,131492,125502,103070,120759,9298,0,0,83998,128202,123827,37957,26457,50301,43939,732,0,0,87228,77715,79911,19606,13062,25376,31544
peak_101,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",404,549,0,224339,300794,285936,333492,370793,363577,303354,2934,940,3949,296946,334681,273487,252197,318446,279912,306774,2056,502,294,284401,286516,230842,252434,287475,337994,228812
peak_102,Terpineol,3061,1412,186,697689,795571,798540,965572,1280551,1126222,937421,16269,22519,8818,732794,802526,735374,791256,958465,850900,897817,12058,19355,4562,642471,613890,602926,651913,745557,923878,755574
peak_103,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",487,1457,0,56104,69804,75102,400947,459746,419275,377447,290,0,174,55504,58648,60830,603165,749974,567898,557826,641,70,61,47299,51846,45362,634675,780629,776249,643780
peak_104,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",4623,978,0,555320,648684,916474,695110,1091039,868150,715079,30571,75903,49119,33638,72276,44939,47162,76760,81113,88525,10217,8580,4294,34073,30031,26387,28089,21080,35144,24192
peak_105,"Oxime-, methoxy-phenyl-_",18267,17592,0,2609,1176,2016,1470,240,845,2043,4502,3416,2344,0,630,2896,677,496,85,1611,3006,4361,180,4859,208,504,12,668,999,212
peak_106,Methyl salicylate,6106,4143,186,46368,44271,56124,65294,94852,85794,86549,6818,10497,5096,14676,28751,33058,55759,80717,60371,48826,4339,5843,4590,23000,16288,26418,49534,58703,55324,49474
peak_107,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-   1",151,271,506,23506,22614,25890,28337,34576,33040,31848,1238,347,15,20090,23841,18055,20077,16278,20152,24794,436,0,1063,18403,18700,18297,14406,20833,19376,18815
peak_108,(-)-Myrtenol,412,668,145,2791,1241,1879,18649,25030,22494,19653,451,845,685,1835,1021,1717,34893,42691,25389,29920,414,126,619,2631,1455,1730,38400,44212,47122,38106
peak_109,2'-Ethoxyformanilide,406,433,0,10254,14179,9827,16476,20463,18648,18007,2122,2082,1553,4880,3588,4700,2433,4505,5518,2362,416,773,174,2509,2864,2431,420,2579,2078,2875
peak_110,"Cyclotrisiloxane, hexamethyl-    1",0,3287851,250,213136,188367,249224,48335,38794,118043,285253,943439,484500,492207,56398,64012,163606,59157,63522,116891,83949,1245192,471308,29319,699312,87176,77060,52013,111405,80891,51186
peak_111,"2-Buten-1-one, 1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-",309,959,218,3359,6819,5507,8158,8976,5503,9220,170,24,0,783,187,2008,2252,3103,2968,4321,126,357,0,838,868,641,1038,1074,3023,1476
peak_112,Benzyl alcohol,9917,10627,854,35876,45521,43481,167088,324384,255598,196417,6205,13913,8659,45522,55519,48743,487541,554356,427408,421641,12666,14778,6795,67136,44503,53953,598352,569325,607938,489833
